score;segment;navn;orgnr;orgform;kanal;epost;telefon;hjemmeside;adresse;postnr;poststed;kommune;ansatte;naeringskode;registrert;formaal;score_grunnlag
45;eiendom;FYKSEN TAKST AS;922272603;AS;e-post/telefon;;;;Sluppenvegen 10;7037;TRONDHEIM;TRONDHEIM;5;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2019-02-21;Takstfirma med tilstandsvurdering av bygg, samt salg av de varer og tjenester som naturlig hører inn under dette. Selskapet kan også delta i andre selskaper, herunder drive med kjøp og salg av aksjer, eller på annen måte gjøres seg interessert i andre foretagender.;5 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;GUDBRANDSDALEN TAKST & BYGG AS;935943019;AS;e-post/telefon;;;;Sødorpvegen 2;2640;VINSTRA;NORD-FRON;5;68.320 Eiendomsforvaltning på oppdrag;2025-08-08;Takst av bygg, vedlikehold av bygginger, vaktmester tjenester, betong arbeider, konsulent tjenester.;5 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;HÅNDLYKKEN TAKST;834830302;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);marianne.haandlykken@gmail.com;41642753;;Ranesvegen 46;6456;SKÅLA;MOLDE;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2025-01-13;Taksering av skade på bygninger og løsøre.;skade/forsikring i formål + e-post i registeret
45;eiendom;KOMPLETT TAKSERING AS;966972017;AS;e-post/telefon;;22464746;;Olaf Helsets vei 5;0694;OSLO;OSLO;6;68.320 Eiendomsforvaltning på oppdrag;1995-02-20;Takseringsvirksomhet av eiendom. Utarbeidelse av tilstandsrapporter. Takstformidling.;6 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;KVALA TAKST AS;933030202;AS;e-post/telefon;;;;Vestheimvegen 49;4250;KOPERVIK;KARMØY;6;68.320 Eiendomsforvaltning på oppdrag;2024-02-19;Taksering av fast eiendom.;6 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;NORD TAKSERING AS;986593640;AS;e-post/telefon;post@nordtaksering.no;35 55 35 31;www.nordtaksering.no;Moen 12;3948;PORSGRUNN;PORSGRUNN;10;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2004-03-01;Takseringstjenester og annen konsulentbistand innenfor ingeniørtjenester av bygningsmessige karakter, samt andre beslektede tjenester.;10 ansatte + AS (e-post lovlig) + e-post i registeret + hjemmeside
45;eiendom;SLEIRE BYGG OG TAKST AS;934914465;AS;e-post/telefon;;;;Hjetlandsvegen 19;6993;HØYANGER;HØYANGER;6;41.000 Oppføring av bygninger;2025-01-24;Tømrer, oppføring og vedlikehold av bygninger. Takstmann.;6 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;SLETTEDAL TAKST OG EIENDOM AS;915282199;AS;e-post/telefon;;924 43 337;;Bjørnåsveien 23;3229;SANDEFJORD;SANDEFJORD;5;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2015-04-22;Taksering, byggeoppdrag, salg og utleie av eiendommer.;5 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;STAVERN TAKSERING AS;951945811;AS;e-post/telefon;stavern@taksering-as.no;33 19 98 59;www.taksering-as.no;Moen 12;3948;PORSGRUNN;PORSGRUNN;8;68.110 Kjøp og salg av egen fast eiendom;1995-02-19;Taksering og konsulentvirksomhet.;8 ansatte + AS (e-post lovlig) + e-post i registeret + hjemmeside
45;eiendom;TAKSERING SØRVEST AS;929476190;AS;e-post/telefon;;;;Halfdan Kjerulfs vei 5;4023;STAVANGER;STAVANGER;6;68.320 Eiendomsforvaltning på oppdrag;2022-07-11;Taksering av eiendom, bygg og anlegg og kjøp / salg av eiendom og andre produkter / tjenester som naturlig hører sammen med dette.;6 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;TAKSERING VEST AS;927427060;AS;e-post/telefon;;;;Øvre Stokkavei 10;4023;STAVANGER;STAVANGER;5;68.320 Eiendomsforvaltning på oppdrag;2021-07-15;Taksering av eiendom/bygg/Anlegg, Kjøp/Salg av eiendom og andre produkter/tjenester som hører sammen med dette.;5 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;TAKST OG BYGG CONSULT AS;923798560;AS;e-post/telefon;;;;Litlabøvegen 270;5417;STORD;STORD;5;68.320 Eiendomsforvaltning på oppdrag;2019-11-11;Konsulenttjenester innen takst og bygg.;5 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;TAKSTFORUM TELEMARK AS;918411348;AS;e-post/telefon;;;;Porsgrunnsvegen 188;3735;SKIEN;SKIEN;6;71.121 Byggeteknisk konsulentvirksomhet;2017-01-20;Byggteknisk konsulentvirksomhet.;6 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;TAKSTKONSULENT1 AS;923193758;AS;e-post/telefon;;;;Vesterheimveien 2;1712;GRÅLUM;SARPSBORG;5;68.320 Eiendomsforvaltning på oppdrag;2019-08-14;Alt innen boligtaksering, uavhengig kontroll og byggteknisk konsulentvirksomhet.;5 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;TAKSTMANNEN AS;999630642;AS;e-post/telefon;;;;Holterveien 2A;1448;DRØBAK;FROGN;6;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2013-01-31;Taksering og kontroll av bygninger og eiendommer.;6 ansatte + eiendom i formål + AS (e-post lovlig)
45;eiendom;WITSØ OG SVEA TAKST AS;930609188;AS;e-post/telefon;;;;Travbanevegen 1;7061;TRONDHEIM;TRONDHEIM;7;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2023-01-09;Takseringstjenester. Taksering av eiendom og tilhørende virksomhet.;7 ansatte + eiendom i formål + AS (e-post lovlig)
40;eiendom;FEMTEGJELD TAKST;921323409;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);;;;Knappestøperen 23;1535;MOSS;MOSS;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2018-08-30;Skadetaksering og prosjektoppfølging.;skade/forsikring i formål
40;eiendom;NATELAND TAKST OG INGENIØR;933720063;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);;;;Mæselvegen 225;4646;FINSLAND;KRISTIANSAND;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2024-07-02;Taksering av bygningsskader, forhåndsbefaring, enkle ingeniøroppdrag.;skade/forsikring i formål
40;eiendom;TAKST MEGLEREN JUUL;933635724;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);;;;Hamangskogen 96;1338;SANDVIKA;BÆRUM;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2024-06-19;Hjelpe forsikringsselskaper med takst.;skade/forsikring i formål
40;eiendom;TAKST TEAM TRØNDELAG DA;980822834;DA;e-post/telefon;;72 88 96 55;;Vestre Rosten 73;7072;HEIMDAL;TRONDHEIM;;68.320 Eiendomsforvaltning på oppdrag;1999-07-15;Taksering av bygninger - verdi og skade.;skade/forsikring i formål
40;eiendom;TAKSTGRUPPEN DØHLEN;926203894;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);;;;c/o Eirik Døhlen, Fernanda Nissens gate 3B;0484;OSLO;OSLO;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2020-12-17;Takseringstjenester innen skadesaker med rådgivning.;skade/forsikring i formål
40;eiendom;VELSTAD TAKST;969942887;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);;32 71 54 81;;Vestsideveien 448;3350;PRESTFOSS;SIGDAL;;41.000 Oppføring av bygninger;1995-02-20;Oppføring av hus, hytter, rehabilitering, betongarbeider, muring, flisarbeid. Verdi- og skadetaksering.;skade/forsikring i formål
40;eiendom;YNGVE KARLSEN TAKST;969946343;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);;934 80 670;;Granbakken 10;3021;DRAMMEN;DRAMMEN;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;1995-02-20;Teknisk konsulent / Skadetakster - bygning.;skade/forsikring i formål
35;eiendom;K2 TAKSERING AS;916374879;AS;e-post/telefon;;926 44 637;;Heiane 2B;5131;NYBORG;BERGEN;6;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2015-12-11;Takseringsvirksomhet.;6 ansatte + AS (e-post lovlig)
35;eiendom;TAKST MIDT AS;823147392;AS;e-post/telefon;;;;Stiklestad alle 1;7654;VERDAL;VERDAL;8;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2019-07-31;Takstvirksomhet og konsulentvirksomhet, samt annen virksomhet som står i naturlig tilknytning til dette.;8 ansatte + AS (e-post lovlig)
30;eiendom;AB TAKST - AKTIV BOLIGTAKSERING AS;989686046;AS;e-post/telefon;abtakst@online.no;99 44 32 00;www.abtakst.no;Skjermvegen 34A;7023;TRONDHEIM;TRONDHEIM;;71.121 Byggeteknisk konsulentvirksomhet;2006-04-04;Drive med taksering av eiendom, samt å eie og forvalte fast eiendom, aksjer og andeler i andre selskaper, prosjektering, produksjon, byggesøknad, byggeledelse, byggekontroll, leievurdering, ferdigstillelseattester, annen rådgivning, samt å drive produksjon, agentur, handel og konsulentvirksomhet, samt virksomhet knyttet til dette.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;AMUNDSEN TAKST AS;989658034;AS;e-post/telefon;gaute@amundsentakst.no;31 28 00 21;www.amundsentakst.no;Vaterlandsveien 23;3470;SLEMMESTAD;ASKER;0;71.121 Byggeteknisk konsulentvirksomhet;2006-04-01;Eiendomstaksering, prosjektledelse og byggrelatert virksomhet.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;BIRKELAND TAKST & PROSJEKT AS;929958608;AS;e-post/telefon;post@birketakst.no;;birketakst.no;Østre Solberg vei 156;1425;SKI;NORDRE FOLLO;0;68.320 Eiendomsforvaltning på oppdrag;2022-09-29;Eiendomsforvaltning på oppdrag. Byggeteknisk konsulentvirksomhet.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;BYGGMESTER/TAKSTINGENIØR HANDELAND AS;980252213;AS;e-post/telefon;post@takstmann-handeland.no;479 06 276;takstmann-handeland.no;Kyrkjegata 2;4200;SAUDA;SAUDA;0;41.000 Oppføring av bygninger;1998-11-04;Byggevirksomhet og handel og annen virksomhet som kan ha tilknytning til dette. Det skal også drives med diverse takstarbeid.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;CENTER TAKST & PROSJEKT AS;897869322;AS;e-post/telefon;post@ctp.as;917 05 112;www.ctp.as;Skiveien 18;1816;SKIPTVET;SKIPTVET;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2012-01-23;Taksering av eiendom. Rådgivning, konsulenttjenester og tjenester for eiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;ELVERUM TAKSTFORRETNING KOLSTAD AS;999538967;AS;e-post/telefon;kolstad@elverumtakst.no;970 36 282;www.elverumtakst.no;Bringebærvegen 27;2409;ELVERUM;ELVERUM;0;68.320 Eiendomsforvaltning på oppdrag;2013-01-19;Taksering av fast eiendom, tilstandskontroll og byggeledelse.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;FJETLAND TAKST AS;985834598;AS;e-post/telefon;jan@fjetland.net;52 73 57 26;takst.fjetland.net;Svebakken 26;5533;HAUGESUND;HAUGESUND;0;41.000 Oppføring av bygninger;2003-07-03;Byggmestervirksomhet og takstvirksomhet.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;FOLLO TAKSERING AS;937522673;AS;e-post/telefon;post@follotaksering.no;948 84 414;www.follotaksering.no;Bjerkelia 4;1553;SON;VESTBY;0;68.310 Eiendomsmegling og andre formidlingstjenester for eiendom;2026-05-12;Taksering og annen byggteknisk rådgivning.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;bil/marine/maskin;G-TAKST AS;912756041;AS;e-post/telefon;;;;Langårdvegen 23;3716;SKIEN;SKIEN;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2013-11-16;Utøve konsulenttjenester innenfor takst av skader på maskiner og kjøretøy, samt investering og drift av eiendom, eie aksjer i andre selskap og annen virksomhet som står i naturlig tilknytning til dette.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + feil segment
30;eiendom;GEILO TAKST AS;988464848;AS;e-post/telefon;geilo.bc@online.no;97182020;www.geilotakst.no;Jonstøllie 44;3580;GEILO;HOL;0;68.320 Eiendomsforvaltning på oppdrag;2005-08-16;Taksering av eiendommer. Prosjektoppfølging og ingeniørtjenester.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;JPA TAKST & BYGGELEDELSE AS;921558961;AS;e-post/telefon;jan.petter@jpatakstbygg.no;901 24 502;www.jpatakstbygg.no;Vestliveien 2;3128;NØTTERØY;FÆRDER;;68.320 Eiendomsforvaltning på oppdrag;2018-10-16;Taksering av fast eiendom. Byggeledelse på fast eiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;L&V TAKST AS;923358870;AS;e-post/telefon;aleksander@lvtakst.no;920 39 226;www.lvtakst.no;Pedersgata 8A;4013;STAVANGER;STAVANGER;;68.320 Eiendomsforvaltning på oppdrag;2019-09-07;Taksering, rådgivning og tekniske konsulenttjenester innen bygg og anleggsbransjen, og det som naturlig hører til.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;LUND TAKSTINGENIØR AS;994224565;AS;e-post/telefon;post@lundtakst.com;414 59 136;lundtakst.com;Saksarhaugen 131;5253;SANDSLI;BERGEN;0;68.320 Eiendomsforvaltning på oppdrag;2009-06-17;Taksering av både næringseiendommer og privatboliger. Virksomheten vil bestå i å selge tjenester knyttet selskapets kompetanse innen taksering.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;MARITIM TAKST AS;919823976;AS;e-post/telefon;firmapost@maritimtakst.no;993 48 638;www.maritimtakst.no;Hummerveien 2;6515;KRISTIANSUND N;KRISTIANSUND;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2017-10-31;Tilby alle former for taksering, tilstandskontroll og verdivurderinger av fritidsfartøy, yacht og yrkesfartøy. Herunder tekniske undersøkelser og dokumentering av tilstand. Maritim konsulentvirksomhet vil inngå i den daglige driften i form av tjenestebasert virksomhet.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;MARTENS TAKST AS;915765416;AS;e-post/telefon;daniel@martenstakst.no;94 00 39 08;www.martenstakst.no;Heggelibakken 4;0375;OSLO;OSLO;0;68.320 Eiendomsforvaltning på oppdrag;2015-08-18;Verditaksering av bolig, utførelse boligsalgsrapport og tilstandsanalyser, uavhengig kontroll og konsulentvirksomhet. Planlegging, oppfølging og utførelse byggeprosjekter.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;NESTOR TAKST AS;991314016;AS;e-post/telefon;post@nestortakst.no;38 11 11 45;www.nestortakst.no;Ægirs vei 10;4632;KRISTIANSAND S;KRISTIANSAND;13;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2007-06-13;Alle typer takstvirksomhet og konsulentvirksomhet innenfor byggfaget og alt som hermed står i forbindelse. Selskapet kan drive handel med aksjer og verdipapirer, herunder lånefinansierte investeringer med verdipapirer og valuta. Videre kan selskapet eie, drive, forvalte og utvikle fast eiendom og alt som hermed står i forbindelse.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;NORDLAND TAKST AS;914446864;AS;e-post/telefon;jb@ttbas.no;959 42 950;www.ttbas.no;C/O Jan Bårtvedt, Tverlandsveien 723;8050;TVERLANDET;BODØ;0;68.320 Eiendomsforvaltning på oppdrag;2014-11-12;Takstmannsforretning og byggeteknisk konsulentvirksomhet.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;OPPLAND BOLIGKONTROLL OG TAKST AS;920590977;AS;e-post/telefon;takst@obtakst.no;413 20 951;www.obtakst.no;Gimlevegen 33;2846;BØVERBRU;VESTRE TOTEN;0;71.121 Byggeteknisk konsulentvirksomhet;2018-03-13;Konsulent innen bygg og anlegg.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;OTTERDAL TAKSERING AS;836150082;AS;e-post/telefon;kontakt@otterdaltaksering.no;;otterdaltaksering.no;Tokenesveien 23;3143;KJØPMANNSKJÆR;FÆRDER;;68.320 Eiendomsforvaltning på oppdrag;2025-09-11;Taksering og konsulentvirksomhet innen bygg og eiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;PILAR TAKST AS;984624387;AS;e-post/telefon;peh@bedrerad.no;971 91 995;www.pilartakst.no;c/o Pilar Regnskap SA, Revetalgata 10;3174;REVETAL;TØNSBERG;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2002-07-23;Utføre takster og verdivurdering av landbrukseiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;SUNNMØRE EIENDOM TAKST AS;911810239;AS;e-post/telefon;frode@moretakst.no;922 36 850;www.moretakst.no;v/ Frode Mauren, Trollhaugane 18;6050;VALDERØYA;GISKE;0;68.320 Eiendomsforvaltning på oppdrag;2013-04-17;Eiendomstaksering.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;TA TAKST OG EIENDOM AS;925170984;AS;e-post/telefon;post@tatakst.no;99 04 71 70;www.tatakst.no;Storgata 33;3256;LARVIK;LARVIK;0;71.121 Byggeteknisk konsulentvirksomhet;2020-06-09;Byggteknisk taksering og vurdering av bygning, eiendom. Byggtjenester, konsulenttjenester ifbm for eksempel søknader, byggelånsoppfølging, bygge/selge eiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;bil/marine/maskin;TAKST OG BYGGKOMPETANSE AS;929536622;AS;e-post/telefon;;;;Anchersens vei 67;3043;DRAMMEN;DRAMMEN;0;71.121 Byggeteknisk konsulentvirksomhet;2022-08-02;Konsulent og rådgivning innen fagfeltet bygg og anlegg. Bygningsingeniør, utleie av bygningsingeniør på timebasis. Bygningsingeniør - skadeforsikring, taksering og byggeledelse. Avholde fagkurs for bygg og anleggs sektor samt forsikringsbransjen. Kjøp, salg og utleie av fast eiendom innenfor bolig og næring. Deltagelse i andre selskaper innenfor samme bransje. Kjøp og salg av løsøre- fra forsikringsselskaper og andre profesjonelle aktører. Kjøp og salg av kjøretøy fra forsikringsselskaper og fra andre profesjonelle aktører innen bransjen, samt utleie av kjøretøy.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + feil segment
30;eiendom;TAKSTFORMIDLING AS;923257020;AS;e-post/telefon;kristin.nytrae@gmail.com;;www.takstformidling.no;Tangveien 17;8520;ANKENES;NARVIK;;71.121 Byggeteknisk konsulentvirksomhet;2019-08-26;Takstkonsulenttjenester og rådgivende ingeniørvirksomhet innen bygg- og anleggsbransjen, samt alt som hører naturlig til dette.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;TAKSTFORUM TROMS AS;991791485;AS;e-post/telefon;post@takstforumtroms.no;913 58 858;Takstforumtroms.no;Sandvikveien 115;9300;FINNSNES;SENJA;;68.320 Eiendomsforvaltning på oppdrag;2007-10-08;Taksering av div. eiendommer, også jordbrukseiendommer, bolighus, og hva som naturlig vil være i sammenheng med virksomheten.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;TAKSTINGENIØR HELGE FJELLRO AS;895945692;AS;e-post/telefon;post@helgefjellro.no;41140500;www.helgefjellro.no;Vavollen 144;5610;ØYSTESE;KVAM;0;68.320 Eiendomsforvaltning på oppdrag;2010-10-06;Eiendomstaksering, byggevirksomhet, kjøp og salg av fast eiendom, rehabilitering, samt annen virksomhet som naturlig hører til.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;TAKSTKONTORET - ØISTEIN FOTLAND AS;928665127;AS;e-post/telefon;fotland@takstkontoret.no;922 45 824;www.takstkontoret.no;Shetlands-Larsens vei 17;5143;FYLLINGSDALEN;BERGEN;0;68.320 Eiendomsforvaltning på oppdrag;2022-02-03;Verditaksering av eiendommer. Tilstandsrapporter for eiendommer i tilknytning til salg. Rådgivning i tilknytning til kjøp og salg av eiendommer. Bygningssakkyndig i tilknytning til eiendomsomsetning m.m.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;TAKSTMANN ATLE ARKØY AS;998463092;AS;e-post/telefon;atle@takstselskapet.no;920 49 738;www.takstselskapet.no;C/o Solvær Arkøy, Granåsen 74B;1362;HOSLE;BÆRUM;0;68.320 Eiendomsforvaltning på oppdrag;2012-06-07;Taksering og konsulentvirksomhet innen bygg og eiendom og annen virksomhet som naturlig hører sammen med dette, herunder å delta i andre selskaper som naturlig hører til dette.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;TAKSTMANN OLAV LARSPLASS AS;928187780;AS;e-post/telefon;olav.lpl@hebb.no;980 90 998;www.boligtakster.no;Storgata 12;3520;JEVNAKER;JEVNAKER;0;68.320 Eiendomsforvaltning på oppdrag;2021-11-22;Taksering av bygg og boligeiendom samt bygg- og tømrervirksomhet, kjøp og salg av byggematriell og andre produkter/tjenester som naturlig hører sammen med dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;bil/marine/maskin;TAKSTMANNRINGEN AS;968295020;AS;e-post/telefon;;63 80 24 16;;Floraveien 30;2007;KJELLER;LILLESTRØM;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;1995-02-20;Taksering av verdi og skade på eiendom, industri, skip og maskiner, deltagelse i andre selskaper med økonomisk interesse samt kjøp og salg av disse og alt hva herved kommer i forbindelse.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + feil segment
30;eiendom;TYNSET TAKST AS;816902282;AS;e-post/telefon;post@tynsettakst.no;977 00 692;www.tynsettakst.no;Telnesveien 35;2500;TYNSET;TYNSET;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2016-03-17;Taksering av eiendom og bygninger, konsulenttjenester innen byggebransjen og deltakelse i andre virksomheter.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;eiendom;VEDI TAKSERING AS;915001882;AS;e-post/telefon;info@vedi-vanntetting.no;468 64 651;www.vedi-vanntetting.no;Hellebruvegen 7;3850;KVITESEID;KVITESEID;0;43.990 Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted;2015-02-26;Vanntetting av kjellere, og arbeid som henger sammen med dette. Salg av tettemateriell. Murerarbeid. Taksering av eiendommer og alt som hører under denne typen virksomhet.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
30;bil/marine/maskin;VESTLAND BYGG OG TAKST AS;932097605;AS;e-post/telefon;;;;Asskaret 45A;5310;HAUGLANDSHELLA;ASKØY;0;68.320 Eiendomsforvaltning på oppdrag;2023-09-20;Taksttjenester. Tilstandsrapporter for boligsalg. Skade og naturskadetaksering. Bygg og maskinarbeid. Skogsdrift. Gårdsvirksomhet/grasproduksjon.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + feil segment
30;eiendom;ØYUM TAKST OG EIENDOM AS;919408650;AS;e-post/telefon;erik@taksthuset.no;900888685;www.taksthuset.no;Rognerudveien 19B;0681;OSLO;OSLO;0;68.320 Eiendomsforvaltning på oppdrag;2017-08-15;Verditaksere fast eiendom og utarbeide tilstandsrapporter på fast eiendom. Selskapet skal kunne påta seg mindre byggeprosjekter, samt byggeledelse og konsulentvirksomhet. Investere i eiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
25;eiendom;3T-TAKSERING AS;916122187;AS;e-post/telefon;ofrivoll@3t-taksering.no;;;Ole Deviks vei 44;0668;OSLO;OSLO;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2015-10-24;Takstjenester og byggetekniske konsulenttjenester.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;A1-TAKST AS;992698918;AS;e-post/telefon;rune@bergen-boligtaksering.no;55 17 98 00;;Baneveien 35;5010;BERGEN;BERGEN;0;68.200 Utleie av egen eller leid fast eiendom;2008-06-18;Investering i andre selskaper, samt investering i eiendom.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;AB TAKSERING OG EIENDOM AS;987726172;AS;e-post/telefon;anders.bryhn@online.no;93 43 78 61;;Huldreveien 19E;0781;OSLO;OSLO;0;68.320 Eiendomsforvaltning på oppdrag;2005-01-18;Takst og verdivurdering av eiendom, håndverkstjenester og transport tjenester.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;AGENDA TAKSERING AS;913850823;AS;e-post/telefon;einar@agendataksering.no;904 00 293;;Landskronaveien 181;2013;SKJETTEN;LILLESTRØM;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2014-07-04;Takseringsvirksomhet eiendom. Utarbeidelse av tilstandsrapporter.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;AMAFINE TAKST AS;914889162;AS;e-post/telefon;per-ove@online.no;901 80 720;;Lundenveien 16;3211;SANDEFJORD;SANDEFJORD;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2015-02-02;Taksering, prosjektledelse, byggevirksomhet, eiendomsdrift.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;ASKER TAKSTFORUM AS;981306848;AS;e-post/telefon;d.mosveen@ekmo.no;908 67 987;;Hagaløkkveien 13;1383;ASKER;ASKER;;71.121 Byggeteknisk konsulentvirksomhet;1999-11-29;Drive konsulentvirksomhet og utleie av personal samt gjøre investeringer i fast eiendom og verdipapirer.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;BERGEN TAKSERING AS;821639662;AS;e-post/telefon;helge@bergentaksering.no;901 89 966;;c/o Helge Madsen, Formanns vei 18H;5037;BERGEN;BERGEN;0;41.000 Oppføring av bygninger;2018-10-31;Tømrertjenster. Malertjenester. Mur og flis. Bygg rehabilitering. Hageservice.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;BERGENHUS TAKST OG BYGGTEKNIKK AS;912859266;AS;e-post/telefon;torgeirwiig@gmail.com;90810650;;Orrhøyflaten 1;5918;FREKHAUG;ALVER;0;68.320 Eiendomsforvaltning på oppdrag;2014-02-05;Takstvirksomhet og byggmesterforretning.;eiendom i formål + AS (e-post lovlig) + e-post i registeret
25;eiendom;BJERK TAKST AS;999540422;AS;e-post/telefon;bjerkhansen@gmail.com;936 32 622;;Øvre Fyllingsveien 79;5161;LAKSEVÅG;BERGEN;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2013-01-16;Taksering av bolig og næringseiendommer, tømrervirksomhet og byggtekniske konsulenttjenester;eiendom i formål + AS (e-post lovlig) + e-post i registeret
